attempts,probability,status,block,decryption_level
251,0.85,intercepted,block,advanced
252,0.7,intercepted,block,advanced
253,0.72,intercepted,block,advanced
254,0.79,intercepted,block,advanced
255,0.68,intercepted,block,advanced
256,0.66,intercepted,block,advanced
257,0.83,intercepted,block,advanced
258,0.73,intercepted,block,advanced
259,0.77,intercepted,block,advanced
260,0.73,intercepted,block,advanced
261,0.68,intercepted,block,advanced
262,0.75,intercepted,block,advanced
263,0.81,intercepted,block,advanced
264,0.72,intercepted,block,advanced
265,0.79,intercepted,block,advanced
266,0.77,intercepted,block,advanced
267,0.74,intercepted,block,advanced
268,0.68,intercepted,block,advanced
269,0.82,intercepted,block,advanced
270,0.7,intercepted,block,advanced
271,0.77,intercepted,block,advanced
272,0.71,intercepted,block,advanced
273,0.69,intercepted,block,advanced
274,0.7,intercepted,block,advanced
275,0.81,intercepted,block,advanced
276,0.75,intercepted,block,advanced
277,0.77,intercepted,block,advanced
278,0.73,intercepted,block,advanced
279,0.84,intercepted,block,advanced
280,0.8,intercepted,block,advanced
281,0.85,intercepted,block,advanced
282,0.8,intercepted,block,advanced
283,0.75,intercepted,block,advanced
284,0.69,intercepted,block,advanced
285,0.75,intercepted,block,advanced
286,0.63,susceptible,attempt,advanced
287,0.76,intercepted,block,advanced
288,0.81,intercepted,block,advanced
289,0.75,intercepted,block,advanced
290,0.85,intercepted,block,advanced
291,0.75,intercepted,block,advanced
292,0.76,intercepted,block,advanced
293,0.75,intercepted,block,advanced
294,0.64,susceptible,attempt,advanced
295,0.66,intercepted,block,advanced
296,0.79,intercepted,block,advanced
297,0.77,intercepted,block,advanced
298,0.76,intercepted,block,advanced
299,0.77,intercepted,block,advanced
300,0.76,intercepted,block,advanced
301,0.83,intercepted,block,advanced
302,0.69,intercepted,block,advanced
303,0.71,intercepted,block,advanced
304,0.75,intercepted,block,advanced
305,0.66,intercepted,block,advanced
306,0.75,intercepted,block,advanced
307,0.64,susceptible,attempt,advanced
308,0.68,intercepted,block,advanced
309,0.64,susceptible,attempt,advanced
310,0.79,intercepted,block,advanced
311,0.76,intercepted,block,advanced
312,0.67,intercepted,block,advanced
313,0.71,intercepted,block,advanced
314,0.76,intercepted,block,advanced
315,0.77,intercepted,block,advanced
