,iteration,message_status,probability,strategy
305,30,unsuccessful,0.5,windtexter_full
306,30,unsuccessful,0.3,windtexter_full
307,30,successful,0.8,windtexter_full
308,30,successful,0.6,windtexter_full
309,30,unsuccessful,0.5,windtexter_full
310,31,unsuccessful,0.3,no_windtexter
311,31,successful,0.7,no_windtexter
312,31,unsuccessful,0.5,windtexter_baseline
313,31,unsuccessful,0.5,windtexter_baseline
314,31,unsuccessful,0.4,windtexter_baseline
315,31,unsuccessful,0.3,windtexter_full
316,31,unsuccessful,0.4,windtexter_full
317,31,unsuccessful,0.5,windtexter_full
318,31,unsuccessful,0.5,windtexter_full
319,31,unsuccessful,0.5,windtexter_full
320,32,unsuccessful,0.3,no_windtexter
321,32,unsuccessful,0.4,no_windtexter
322,32,successful,0.8,windtexter_baseline
323,32,successful,0.6,windtexter_baseline
324,32,successful,0.7,windtexter_baseline
325,32,unsuccessful,0.5,windtexter_full
326,32,unsuccessful,0.5,windtexter_full
327,32,unsuccessful,0.3,windtexter_full
328,32,unsuccessful,0.3,windtexter_full
329,32,unsuccessful,0.2,windtexter_full
330,33,unsuccessful,0.5,no_windtexter
331,33,successful,0.6,no_windtexter
332,33,successful,0.8,windtexter_baseline
333,33,unsuccessful,0.3,windtexter_baseline
334,33,unsuccessful,0.1,windtexter_baseline
335,33,unsuccessful,0.2,windtexter_full
336,33,unsuccessful,0.5,windtexter_full
337,33,unsuccessful,0.4,windtexter_full
338,33,unsuccessful,0.5,windtexter_full
339,33,unsuccessful,0.5,windtexter_full
340,34,unsuccessful,0.5,no_windtexter
341,34,unsuccessful,0.5,no_windtexter
342,34,successful,0.7,windtexter_baseline
343,34,unsuccessful,0.4,windtexter_baseline
344,34,unsuccessful,0.1,windtexter_baseline
345,34,unsuccessful,0.2,windtexter_full
346,34,successful,0.7,windtexter_full
347,34,unsuccessful,0.3,windtexter_full
348,34,unsuccessful,0.4,windtexter_full
349,34,unsuccessful,0.2,windtexter_full
350,35,successful,0.8,no_windtexter
351,35,unsuccessful,0.3,no_windtexter
352,35,unsuccessful,0.3,windtexter_baseline
353,35,successful,0.6,windtexter_baseline
354,35,unsuccessful,0.5,windtexter_baseline
355,35,unsuccessful,0.1,windtexter_full
356,35,unsuccessful,0.1,windtexter_full
357,35,unsuccessful,0.5,windtexter_full
358,35,unsuccessful,0.4,windtexter_full
359,35,unsuccessful,0.3,windtexter_full
360,36,unsuccessful,0.5,no_windtexter
361,36,unsuccessful,0.3,no_windtexter
362,36,unsuccessful,0.4,windtexter_baseline
363,36,unsuccessful,0.5,windtexter_baseline
364,36,unsuccessful,0.1,windtexter_baseline
365,36,unsuccessful,0.1,windtexter_full
366,36,unsuccessful,0.5,windtexter_full
367,36,successful,0.7,windtexter_full
368,36,successful,0.6,windtexter_full
369,36,unsuccessful,0.4,windtexter_full
370,37,unsuccessful,0.5,no_windtexter
371,37,unsuccessful,0.3,no_windtexter
372,37,unsuccessful,0.5,windtexter_baseline
373,37,unsuccessful,0.4,windtexter_baseline
374,37,unsuccessful,0.4,windtexter_baseline
375,37,unsuccessful,0.4,windtexter_full
376,37,unsuccessful,0.1,windtexter_full
377,37,unsuccessful,0.5,windtexter_full
378,37,unsuccessful,0.3,windtexter_full
379,37,unsuccessful,0.1,windtexter_full
380,38,unsuccessful,0.4,no_windtexter
381,38,unsuccessful,0.2,no_windtexter
382,38,successful,0.7,windtexter_baseline
383,38,unsuccessful,0.5,windtexter_baseline
384,38,successful,0.8,windtexter_baseline
385,38,unsuccessful,0.5,windtexter_full
386,38,successful,0.8,windtexter_full
387,38,successful,0.6,windtexter_full
388,38,unsuccessful,0.3,windtexter_full
389,38,successful,0.7,windtexter_full
390,39,unsuccessful,0.2,no_windtexter
391,39,unsuccessful,0.5,no_windtexter
392,39,unsuccessful,0.4,windtexter_baseline
393,39,successful,0.7,windtexter_baseline
394,39,successful,0.7,windtexter_baseline
395,39,unsuccessful,0.5,windtexter_full
396,39,successful,0.6,windtexter_full
397,39,unsuccessful,0.4,windtexter_full
398,39,unsuccessful,0.4,windtexter_full
399,39,unsuccessful,0.3,windtexter_full
400,40,unsuccessful,0.2,no_windtexter
401,40,unsuccessful,0.5,no_windtexter
402,40,unsuccessful,0.4,windtexter_baseline
403,40,unsuccessful,0.4,windtexter_baseline
404,40,unsuccessful,0.5,windtexter_baseline
405,40,successful,0.8,windtexter_full
406,40,unsuccessful,0.2,windtexter_full
407,40,unsuccessful,0.4,windtexter_full
408,40,unsuccessful,0.3,windtexter_full
409,40,unsuccessful,0.2,windtexter_full
410,41,unsuccessful,0.5,no_windtexter
411,41,unsuccessful,0.4,no_windtexter
412,41,successful,0.6,windtexter_baseline
413,41,successful,0.7,windtexter_baseline
414,41,unsuccessful,0.1,windtexter_baseline
415,41,successful,0.8,windtexter_full
416,41,successful,0.7,windtexter_full
417,41,unsuccessful,0.3,windtexter_full
418,41,unsuccessful,0.1,windtexter_full
419,41,unsuccessful,0.4,windtexter_full
420,42,successful,0.6,no_windtexter
421,42,successful,0.7,no_windtexter
422,42,successful,0.7,windtexter_baseline
423,42,unsuccessful,0.1,windtexter_baseline
424,42,unsuccessful,0.3,windtexter_baseline
425,42,unsuccessful,0.3,windtexter_full
426,42,unsuccessful,0.2,windtexter_full
427,42,unsuccessful,0.3,windtexter_full
428,42,unsuccessful,0.3,windtexter_full
429,42,successful,0.7,windtexter_full
430,43,successful,0.8,no_windtexter
431,43,unsuccessful,0.4,no_windtexter
432,43,unsuccessful,0.3,windtexter_baseline
433,43,unsuccessful,0.5,windtexter_baseline
